sphere,stateBody,theme,link,MachineReadableFormat,linkToDataset
Экология и окружающая среда,"Государственное учреждение ""Оператор вторичных материальных ресурсов""",Государственный реестр операторов/переработчиков вторичных ресурсов,http://vtoroperator.by/content/ob-organizatsii,да,https://opendata.by/node/850
Экология и окружающая среда,"Государственное учреждение ""Оператор вторичных материальных ресурсов""","Организации, осуществляющие сбор, сортировку вторичных ресурсов",http://vtoroperator.by/content/ob-organizatsii,да,https://opendata.by/dataset/1058
Жилищные условия,Минский городской исполнительный комитет,График отключения горячей воды в Минске,http://minsk.gov.by/ru/,да,https://opendata.by/node/569
Здравоохранение,Министерство здравоохранения Республики Беларусь,Реестр лицензий Министерства здравоохранения Республики Беларусь,http://minzdrav.gov.by/,да,https://opendata.by/node/471
Защита информации,Оперативно-аналитический центр при Президенте Республики,"Реестр лицензий на право осуществления деятельности по технической защите информации, в том числе криптографическими методами",http://oac.gov.by/,да,https://opendata.by/node/405
Окружающая среда,Министерство по чрезвычайным ситуациям Республики Беларусь,Чрезвычайные ситуации в г. Минск,http://mchs.gov.by/rus/main/,да,https://opendata.by/node/408
Образование,Главный информационно - аналитический центр,Учреждения образования на территории радиоактивного загрязнения,http://giac.unibel.by/,да,https://opendata.by/dataset/908
Правонарушения,Министерство внутренних дел Республики Беларусь,Преступность в Беларуси: суточные сводки МВД с 5 февраля 2011 г. по 31 декабря 2014 года,http://mvd.gov.by/,да,https://opendata.by/node/491
Миграция,Министерство внутренних дел Республики Беларусь,Учёт трудящихся-мигрантов за 2015 год,http://mvd.gov.by/,да,https://opendata.by/node/835
Миграция,Министерство внутренних дел Республики Беларусь,Учёт трудящихся-мигрантов за первое полугодие 2016 года,http://mvd.gov.by/,да,https://opendata.by/dataset/1106
Транспорт,Национальный статистический комитет Республики Беларусь,Перевозки пассажиров воздушным транспортом,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1216
Экология и климат,Министерство природных ресурсов и охраны окружающей среды/Национальный статистический комитет Республики Беларусь,Среднегодовая температура воздуха по областям и г. Минску,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1232
Макроэкономика,Национальный статистический комитет Республики Беларусь,Базовый индекс потребительских цен в 2015-2016 гг,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1225
Жилищные условия,Национальный статистический комитет Республики Беларусь,Жилищный фонд по областям и г. Минску,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1223
Наука и инновации,Национальный статистический комитет Республики Беларусь,Основные показатели инновационной деятельности организаций промышленности,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1218
Правонарушения,Национальный статистический комитет Республики Беларусь,Число зарегистрированных преступлений по областям и г. Минску,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1220
Инвестиции и строительство,Национальный статистический комитет Республики Беларусь,Ввод в эксплуатацию жилых домов по областям и г. Минску в 2015 г.,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1235
Цены,Национальный статистический комитет Республики Беларусь,Средние цены на потребительские товары и услуги по областям и г. Минску за январь-октябрь 2016 года,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1237
Промышленность,Национальный статистический комитет Республики Беларусь,Производство промышленной продукции в 2016 году,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1360
Цены,Национальный статистический комитет Республики Беларусь,Средние цены на рынке жилья,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1357
Сельское хозяйство,Национальный статистический комитет Республики Беларусь,Показатели производства продукции животноводства в сельскохозяйственных организациях по областям в 2016 году,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1367
Промышленность,Национальный статистический комитет Республики Беларусь,Промышленное производство по видам экономической деятельности (ОКЭД) в 2016,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1362
Транспорт,Национальный статистический комитет Республики Беларусь,Пассажирские перевозки по видам транспорта за 2016 год,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1374
Связь и информационно-коммуникационные технологии,Национальный статистический комитет Республики Беларусь,Основные показатели развития связи общего пользования в Беларуси,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1372
Внутренняя торговля,Национальный статистический комитет Республики Беларусь,Продажа отдельных непродовольственных и продовольственных товаров в 2016 году,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1369
Энергетика,Национальный статистический комитет Республики Беларусь,Производство (добыча) природных видов топливно-энергетических ресурсов,http://www.belstat.gov.by/,да,https://opendata.by/dataset/1365
Демография,Национальный статистический комитет Республики Беларусь,"Населенные пункты, расположенные в зонах радиоактивного загрязнения",http://www.belstat.gov.by/,да,https://opendata.by/dataset/1381
Наука и инновации,,Научно-исследовательские организации Беларуси,,да,https://opendata.by/dataset/1379
Правонарушения,Министерство внутренних дел Республики Беларусь,"Сводка ГАИ по задержаниям - всего, пьяных, без прав, за скорость, за непропуск пешеходов 2012-2016",http://mvd.gov.by/,да,https://opendata.by/dataset/1276
Правонарушения,Министерство внутренних дел Республики Беларусь,Преступления и уровень преступности по областям и г.Минску в 2016 году,http://mvd.gov.by/,да,https://opendata.by/dataset/1390
Административное деление,,"Векторная карта Беларуси, районов, городов, областей",,нет,https://opendata.by/dataset/1452
Жилищные условия/Цены,Национальный статистический комитет Республики Беларусь,"Средние цены на рынке жилья, 2010-2015",http://www.belstat.gov.by/,да,https://opendata.by/dataset/1357
Правонарушения,Министерство внутренних дел Республики Беларусь,"Число зарегистрированных преступлений по областям и г. Минску, 2007-2015",http://www.belstat.gov.by/,да,https://opendata.by/dataset/1220
ЖКХ,,"115.bel: решённые/нерешённые заявки по месяцам и районам, рейтинг организаций ЖКХ Минска, 2016-2017",,да,https://opendata.by/dataset/1383
ЖКХ,,"ЖЭСЫ Минска, 2014",,да,https://opendata.by/node/562
Охрана,Министерство внутренних дел Республики Беларусь,"Частные охранные лицензии, Минск (2002-2017)",http://mvd.gov.by/,да,https://opendata.by/dataset/1431
Наука и инновации,,Популярные среди белорусских ученых научные публикации в международных издательствах (датасет в разработке),,да,https://opendata.by/dataset/1427
